territory,no_complaint,yes_complaint,total,pct_yes_complaint,pct_no_complaint
Andalucía,144,42,186,22.58,77.42
Aragón,16,6,22,27.27,72.73
Asturias,22,3,25,12.0,88.0
Balears Islands,23,7,30,23.33,76.67
Canary Islands,43,17,60,28.33,71.67
Cantabria,5,3,8,37.5,62.5
Castilla y León,36,9,45,20.0,80.0
Castilla-La Mancha,28,12,40,30.0,70.0
Cataluña,112,35,147,23.81,76.19
Region of Valencia,84,38,122,31.15,68.85
Extremadura,4,4,8,50.0,50.0
Galicia,47,11,58,18.97,81.03
Madrid,78,25,103,24.27,75.73
Murcia,18,6,24,25.0,75.0
Navarra,7,3,10,30.0,70.0
Vasque Country,22,9,31,29.03,70.97
La Rioja,2,1,3,33.33,66.67
Ceuta,1,0,1,0.0,100.0
Melilla,1,3,4,75.0,25.0
